poi,predominance,term
Museo Amparo,0.0754,mujer
Museo Amparo,0.0751,educativo
Museo Amparo,0.0751,expresión
Museo Amparo,0.0751,institución
Museo Amparo,0.0746,recinto
Museo Amparo,0.0745,esposa
Museo Amparo,0.0745,obispo
Museo Amparo,0.0717,gran
Museo Amparo,0.0672,parte
Museo Amparo,0.0672,época
Museo Amparo,0.0653,mismo
Museo Amparo,0.0638,artístico
Museo Amparo,0.0607,enrique
Museo Amparo,0.0607,hija
Museo Amparo,0.0607,letrán
Museo Amparo,0.0607,niña
Museo Amparo,0.0607,norten
Museo Amparo,0.0607,presente
Museo Amparo,0.0607,rugarcía
Museo Amparo,0.0592,colonial
Museo Amparo,0.0592,diverso
Museo Amparo,0.0592,largo
Museo Amparo,0.0592,persona
Museo Amparo,0.0577,raíz
Museo Amparo,0.0577,amplio
Museo Amparo,0.0577,inmueble
Museo Amparo,0.0567,calidad
Museo Amparo,0.0567,conjunto
Museo Amparo,0.0567,exhibición
Museo Amparo,0.0567,internacional
Museo Amparo,0.0567,pedro
Museo Amparo,0.0565,acervo
Museo Amparo,0.0565,despacho
Museo Amparo,0.0565,programa
Museo Amparo,0.0561,uso
Museo Amparo,0.0560,distinto
Museo Amparo,0.0560,mendoza
Museo Amparo,0.0520,mayor
Museo Amparo,0.0489,lugar
Museo Amparo,0.0409,forma
Museo Amparo,0.0409,gobierno
Museo Amparo,0.0409,servicio
Museo Amparo,0.0406,académico
Museo Amparo,0.0406,agenda
Museo Amparo,0.0406,banquero
Museo Amparo,0.0406,convertirlo
Museo Amparo,0.0406,creativo
Museo Amparo,0.0406,curso
Museo Amparo,0.0406,diplomados
Mercado Parian,1.1154,ciudad
Mercado Parian,0.3946,artesanía
Mercado Parian,0.3491,mercado
Mercado Parian,0.3405,antiguo
Mercado Parian,0.2978,talavera
Mercado Parian,0.2878,centro
Mercado Parian,0.2878,san
Mercado Parian,0.2696,producto
Mercado Parian,0.2342,región
Mercado Parian,0.2342,típico
Mercado Parian,0.2290,poblano
Mercado Parian,0.2163,parián
Mercado Parian,0.2150,tradicional
Mercado Parian,0.1980,estado
Mercado Parian,0.1789,bolsa
Mercado Parian,0.1789,roque
Mercado Parian,0.1789,tazas
Mercado Parian,0.1701,artesanal
Mercado Parian,0.1700,local
Mercado Parian,0.1671,capital
Mercado Parian,0.1671,puesto
Mercado Parian,0.1664,decorativo
Mercado Parian,0.1664,opción
Mercado Parian,0.1654,papel
Mercado Parian,0.1654,textil
Mercado Parian,0.1651,plato
Mercado Parian,0.1651,plazuela
Mercado Parian,0.1567,histórico
Mercado Parian,0.1509,lugar
Mercado Parian,0.1355,diferente
Mercado Parian,0.1355,primer
Mercado Parian,0.1286,pieza
Mercado Parian,0.1233,casa
Mercado Parian,0.1233,tipo
Mercado Parian,0.1224,amate
Mercado Parian,0.1224,atlixco
Mercado Parian,0.1224,cazuela
Mercado Parian,0.1224,cinturón
Mercado Parian,0.1224,comprarlos
Mercado Parian,0.1224,cuero
Mercado Parian,0.1224,floreros
Mercado Parian,0.1224,herrera
Mercado Parian,0.1224,joyería
Mercado Parian,0.1224,manteles
Mercado Parian,0.1224,ollo
Mercado Parian,0.1224,pahuatlán
Mercado Parian,0.1224,rebozos
Mercado Parian,0.1224,sarap
Mercado Parian,0.1197,año
Mercado Parian,0.1164,alfarería
Mercado Parian,0.1164,blusa
Mercado Parian,0.1164,dulz
Mercado Parian,0.1164,lleno
Mercado Parian,0.1164,lunes
Mercado Parian,0.1164,zócalo
Mercado Parian,0.1163,azulejo
Mercado Parian,0.1163,regional
Mercado Parian,0.1143,color
Mercado Parian,0.1143,norte
Mercado Parian,0.1139,dulce
Mercado Parian,0.1139,encontrarás
Mercado Parian,0.1139,tecali
Mercado Parian,0.1139,traje
Mercado Parian,0.1139,vidrio
Mercado Parian,0.1132,cerámica
Mercado Parian,0.1132,cholula
Mercado Parian,0.1130,ladrillo
Mercado Parian,0.0805,espacio
Mercado Parian,0.0743,estilo
Mercado Parian,0.0743,gran
Mercado Parian,0.0696,mexicano
Mercado Parian,0.0696,nombre
Mercado Parian,0.0696,objeto
Mercado Parian,0.0696,segundo
Mercado Parian,0.0660,actividad
Mercado Parian,0.0633,hecho
Mercado Parian,0.0633,recorrido
Mercado Parian,0.0629,alpaca
Mercado Parian,0.0629,amozoc
Mercado Parian,0.0629,anillo
Mercado Parian,0.0629,aret
Mercado Parian,0.0629,bandejas
Mercado Parian,0.0629,billeteras
Mercado Parian,0.0629,bolso
Mercado Parian,0.0629,borrachitos
Mercado Parian,0.0629,cacahuate
Mercado Parian,0.0629,camote
Mercado Parian,0.0629,canasta
Mercado Parian,0.0629,carpeta
Mercado Parian,0.0629,cartera
Mercado Parian,0.0629,chales
Mercado Parian,0.0629,chamarras
Mercado Parian,0.0629,cobre
Mercado Parian,0.0629,coco
Mercado Parian,0.0629,cubrecamas
Mercado Parian,0.0629,dama
Mercado Parian,0.0629,dibujo
Mercado Parian,0.0629,favorito
Mercado Parian,0.0629,frituras
Mercado Parian,0.0629,guitarro
Plazuela Sapos,0.5437,antiguo
Plazuela Sapos,0.4509,sapos
Plazuela Sapos,0.4069,gran
Plazuela Sapos,0.3799,antigüedad
Plazuela Sapos,0.3358,domingo
Plazuela Sapos,0.3185,restaurante
Plazuela Sapos,0.3179,plazuela
Plazuela Sapos,0.3161,objeto
Plazuela Sapos,0.2856,bar
Plazuela Sapos,0.2856,callejón
Plazuela Sapos,0.2844,construcción
Plazuela Sapos,0.2844,poblano
Plazuela Sapos,0.2715,sábado
Plazuela Sapos,0.2656,tianguis
Plazuela Sapos,0.2640,tradicional
Plazuela Sapos,0.2635,ambiente
Plazuela Sapos,0.2624,arte
Plazuela Sapos,0.2476,centro
Plazuela Sapos,0.2334,fachada
Plazuela Sapos,0.2238,típico
Plazuela Sapos,0.2222,bazares
Plazuela Sapos,0.2166,colonial
Plazuela Sapos,0.2075,artículo
Plazuela Sapos,0.2067,artesanío
Plazuela Sapos,0.2067,noche
Plazuela Sapos,0.2054,madera
Plazuela Sapos,0.2054,paseo
Plazuela Sapos,0.2051,comida
Plazuela Sapos,0.1970,histórico
Plazuela Sapos,0.1922,lugar
Plazuela Sapos,0.1704,nombre
Plazuela Sapos,0.1550,casa
Plazuela Sapos,0.1539,anticuario
Plazuela Sapos,0.1539,cantina
Plazuela Sapos,0.1539,pasita
Plazuela Sapos,0.1539,portones
Plazuela Sapos,0.1524,año
Plazuela Sapos,0.1500,visita
Plazuela Sapos,0.1463,infinidad
Plazuela Sapos,0.1463,agua
Plazuela Sapos,0.1463,oriente
Plazuela Sapos,0.1437,sur
Plazuela Sapos,0.1431,gente
Plazuela Sapos,0.1431,ideal
Plazuela Sapos,0.1423,balcón
Plazuela Sapos,0.1423,barrio
Plazuela Sapos,0.1423,música
Plazuela Sapos,0.1423,virreinal
Plazuela Sapos,0.1420,libro
Plazuela Sapos,0.1420,río
Plazuela Sapos,0.1288,san
